disc_yr,edb,nb_connections,line_length
2021,Alpine Energy,33699.5,4349.16
2021,Aurora Energy,92095.6579534396,6161.26
2021,Buller Electricity,4709,646.196585843298
2021,Centralines,8889,1827.919743
2021,Counties Energy,44514,3427
2021,EA Networks,20001.0833333333,3109.69017999997
2021,Electra,45561.6439393939,2330.46070664545
2021,Electricity Invercargill,17419,663.96897
2021,Firstlight Network,25783,3945.082
2021,Horizon Energy,25416.3333333333,2604.91166
2021,MainPower NZ,42117,5164.52
2021,Marlborough Lines,26425.5,3391.41162929271
2021,Nelson Electricity,9271,298.2802
2021,Network Tasman,40596.5,3673.6
2021,Network Waitaki,13097,1879.20633524725
2021,Northpower,61115,6112.83
2021,Orion NZ,209584,11621.9422517867
2021,OtagoNet,17842,4624.38465000006
2021,Powerco,348191,28513.844142
2021,Scanpower,6696.5,1038.373
2021,The Lines Company,23841.4228310501,4358.721
2021,The Power Company,36585,8849.77240999993
2021,Top Energy,32876.9166666667,4087.66
2021,Unison Networks,115724,9346.60249699995
2021,Vector Lines,583483,19144.058
2021,WEL Networks,95226,5523.336254
2021,Waipa Networks,27552.5,2271.29447
2021,Wellington Electricity,170188.25,4780.27149595804
2021,Westpower,13867,2298
2022,Alpine Energy,33269,4325.57
2022,Aurora Energy,93287.4410958904,6213.13
2022,Buller Electricity,4757,649.017982270499
2022,Centralines,9054,1835.50614306664
2022,Counties Energy,45785,3500
2022,EA Networks,20246.8301370286,3105
2022,Electra,45950.4166666667,2353.88326698862
2022,Electricity Invercargill,17491,663.158590000001
2022,Firstlight Network,25775.0833333333,3942.372
2022,Horizon Energy,25080.7090479529,2612.11353
2022,MainPower NZ,43131,5169.82
2022,Marlborough Lines,26630,3423.8
2022,Nelson Electricity,9285,295.6605
2022,Network Tasman,41622,3687.6
2022,Network Waitaki,13201,1902.8891
2022,Northpower,62040,6151.36590000001
2022,Orion NZ,213669,11739.710130265
2022,OtagoNet,18567,4638.44502000005
2022,Powerco,352563,28935.3514853446
2022,Scanpower,6731,1049
2022,The Lines Company,23999.0767123288,4439.687
2022,The Power Company,36897,8861.72516999992
2022,Top Energy,33262.6923076923,4101.42
2022,Unison Networks,116892.75,9377.0533680897
2022,Vector Lines,593440,19279.988503
2022,WEL Networks,96894,5569.960086
2022,Waipa Networks,28032.5,2291.92212
2022,Wellington Electricity,171955,4805.94664680865
2022,Westpower,14007,2205.33981
2023,Alpine Energy,33539,4374
2023,Aurora Energy,94323.3636986301,6256
2023,Buller Electricity,4815,649.830402144088
2023,Centralines,9212,1864.40935375117
2023,Counties Energy,46963,3545.37493507582
2023,EA Networks,20538,3172
2023,Electra,46333.25,2379.63460106775
2023,Electricity Invercargill,17562,664.51797
2023,Firstlight Network,25871.75,3945.082
2023,Horizon Energy,25179.3333333333,2623.83882
2023,MainPower NZ,44109,5198.3
2023,Marlborough Lines,26829.5,3519
2023,Nelson Electricity,9297,295.8877
2023,Network Tasman,42224,3718.5
2023,Network Waitaki,13344,1907.8
2023,Northpower,63002,6190.32
2023,Orion NZ,218227,11907.2149
2023,OtagoNet,19361,4618.7865
2023,Powerco,356643,29086.9692317519
2023,Scanpower,6771,1052
2023,The Lines Company,24015.6054794521,4426
2023,The Power Company,37327,8882.37187888102
2023,Top Energy,33740,4227.648
2023,Unison Networks,118448,9334.36797708504
2023,Vector Lines,603707,19468
2023,WEL Networks,98601,5616.922276
2023,Waipa Networks,29128,2302.19383
2023,Wellington Electricity,173512.25,4835.21163333334
2023,Westpower,14144,2192.98124
2024,Alpine Energy,33883.178,4379
2024,Aurora Energy,95241.0473089303,6311.79072433989
2024,Buller Electricity,4889,650.00063
2024,Centralines,9285,1868.67850080267
2024,Counties Energy,48147,3585.8403977243
2024,EA Networks,21105,3160
2024,Electra,46748.5,2392.19357743207
2024,Electricity Invercargill,17645,664.558220000002
2024,Firstlight Network,25934.4166666667,3976.14586160628
2024,Horizon Energy,25299.5,2626.79582
2024,MainPower NZ,44918,5234.1
2024,Marlborough Lines,27034,3539
2024,Nelson Electricity,9311.5,296.6747
2024,Network Tasman,42816,3733.3
2024,Network Waitaki,13445.98,1939.08
2024,Northpower,63782,6217.88
2024,Orion NZ,223047,11991.8862813085
2024,OtagoNet,20029,4688.03414000003
2024,Powerco,359857,29201.9777074228
2024,Scanpower,6791,1049.676
2024,The Lines Company,24144.6830601093,4443.29913
2024,The Power Company,37720,8915.33269499996
2024,Top Energy,34094,4239.794
2024,Unison Networks,119182,9403
2024,Vector Lines,616705,19593.634076
2024,WEL Networks,100249.5,5669.64705061366
2024,Waipa Networks,28972,2340.616866882
2024,Wellington Electricity,175248.833333333,4863.55732
2024,Westpower,14326,2186.96659
